Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Events,EV.1,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,location,at_bats,hard_hits,correct_hardhit%
9/29/23,NYY,KCR,2,DH,4.0,1,1,0,0,2,0,0,0,0.25,0.00%,0.333,0.333,104.6,0.333,0.5,0.667,0.485,219,3.0,104.6,110.6,29.9,1,33.30%,3,1.0,away,3.0,3.0,1.0
9/28/23,NYY,TOR,2,RF,4.0,0,0,0,0,0,0,0,0,0.25,50.00%,0,0,94,0,0.25,0,0,-100,1.0,94,94,-22.4,0,0.00%,0,0.0,away,3.0,0.0,0.0
9/27/23,NYY,TOR,2,RF,5.0,2,0,0,2,3,4,0,0,0.4,20.00%,2,0,112.5,0.667,0.8,2.667,1.176,698,2.0,112.5,112.7,26.1,2,100.00%,2,1.0,away,3.0,2.0,0.67
9/25/23,NYY,ARI,2,DH,4.0,0,0,0,0,0,0,0,0,0.25,25.00%,0,0,107.2,0,0.25,0,0.174,4,2.0,107.2,112.2,20.2,1,50.00%,2,1.0,home,3.0,2.0,0.67
9/24/23,NYY,ARI,2,DH,5.0,1,1,0,0,0,1,0,0,0.4,40.00%,0.333,1,103.8,0.333,0.6,0.667,0.527,248,1.0,103.8,103.8,45.8,0,0.00%,1,1.0,home,3.0,1.0,0.33
9/22/23,NYY,ARI,2,RF,4.0,4,1,0,3,3,6,0,0,0.0,0.00%,2.5,1,108.1,1,1,3.5,1.814,1140,4.0,108.1,112.4,21.8,3,75.00%,4,1.0,home,4.0,4.0,1.0
9/21/23,NYY,TOR,2,DH,4.0,2,1,0,0,0,1,0,0,0.0,25.00%,0.25,0.667,102.6,0.5,0.5,0.75,0.532,252,3.0,102.6,113.5,15,1,33.30%,2,0.667,home,4.0,2.0,0.5
9/19/23,NYY,TOR,2,RF,4.0,2,0,0,0,1,0,0,0,0.0,50.00%,0,1,95,0.5,0.5,0.5,0.441,189,2.0,95,111.1,16,1,50.00%,1,0.5,home,4.0,1.0,0.25
9/17/23,NYY,PIT,2,RF,4.0,0,0,0,0,0,0,0,0,0.0,25.00%,0,0,79.6,0,0,0,0,-100,3.0,79.6,93.2,-21.3,0,0.00%,0,0.0,away,4.0,0.0,0.0
9/16/23,NYY,PIT,2,RF,5.0,0,0,0,0,1,0,0,0,0.6,20.00%,0,0,83.2,0,0.6,0,0.418,173,1.0,83.2,83.2,-21.6,0,0.00%,0,0.0,away,2.0,0.0,0.0
9/15/23,NYY,PIT,2,RF,5.0,3,0,0,0,1,1,0,0,0.0,40.00%,0,1,106.1,0.6,0.6,0.6,0.53,250,3.0,106.1,111,3.4,1,33.30%,3,1.0,away,5.0,3.0,0.6
9/14/23,NYY,BOS,2,DH,5.0,1,0,0,1,1,4,0,0,0.6,0.00%,1.5,0,95.3,0.5,0.8,2,0.849,472,2.0,95.3,110,10.7,1,50.00%,1,0.5,away,2.0,1.0,0.5
9/14/23,NYY,BOS,2,DH,4.0,0,0,0,0,0,0,0,0,0.0,25.00%,0,0,98.2,0,0,0,0,-100,3.0,98.2,103.6,13.7,0,0.00%,2,0.667,away,4.0,2.0,0.5
9/12/23,NYY,BOS,2,DH,5.0,0,0,0,0,0,0,0,0,0.4,40.00%,0,0,80.7,0,0.4,0,0.174,4,1.0,80.7,80.7,60,0,0.00%,0,0.0,away,3.0,0.0,0.0
9/12/23,NYY,BOS,2,RF,4.0,0,0,0,0,0,0,0,0,0.0,50.00%,0,0,100.7,0,0,0,0,-100,2.0,100.7,107.1,49.9,0,0.00%,1,0.5,away,4.0,1.0,0.25
9/10/23,NYY,MIL,2,RF,5.0,0,0,0,0,0,0,0,0,0.2,40.00%,0,0,68.5,0,0.2,0,0,-100,2.0,68.5,84.4,-8.7,0,0.00%,0,0.0,home,4.0,0.0,0.0
9/9/23,NYY,MIL,2,DH,5.0,1,0,0,0,0,0,0,0,0.2,0.00%,0,0.25,103.3,0.25,0.4,0.25,0.316,102,4.0,103.3,106.1,18,0,0.00%,4,1.0,home,4.0,4.0,1.0
9/8/23,NYY,MIL,2,DH,4.0,1,0,0,0,1,0,0,0,0.5,25.00%,0,1,101.1,0.5,0.75,0.5,0.569,277,1.0,101.1,101.1,14.9,0,0.00%,1,1.0,home,2.0,1.0,0.5
9/7/23,NYY,DET,2,RF,4.0,0,0,0,0,0,0,0,0,0.0,25.00%,0,0,95.1,0,0,0,0,-100,3.0,95.1,102.4,39.4,1,33.30%,1,0.333,home,4.0,1.0,0.25
9/6/23,NYY,DET,2,DH,5.0,2,1,0,0,1,0,0,0,0.2,0.00%,0.25,0.5,103.1,0.5,0.6,0.75,0.564,274,4.0,103.1,109.1,0.6,0,0.00%,4,1.0,home,4.0,4.0,1.0
