Title,Description,Sentiment Label,cleaned_text
how to watch jack catterall vs jorge linares live stream,"jack catterall hopes to add a win to his resume to redeem his loss to josh taylor he faces jorge linares, who is currently on a three fight losing streak",positive,jack catterall hope add win resume redeem loss josh taylor face jorge linares currently three fight losing streak
jaguars vs steelers livestream: how to watch nfl week 8 online today - cnet,jacksonville look to make it five wins in a row as they head to pittsburgh,positive,jacksonville look make five win row head pittsburgh
vikings vs packers livestream: how to watch nfl week 8 online today - cnet,want to watch the minnesota vikings play the green bay packers? here's everything you need to stream sunday's 1 pm et game on fox,positive,want watch minnesota viking play green bay packer everything need stream sunday pm et game fox
dolphins' chase claypool says there was 'frustration' over bears' losing streak,"after being traded from the 1-4 chicago bears to the 4-1 miami dolphins last friday, wide receiver chase claypool admitted that he was dissatisfied with being…",negative,traded chicago bear miami dolphin last friday wide receiver chase claypool admitted dissatisfied
seahawks vs bengals livestream: how to watch nfl week 6 online today - cnet,two of the nfl's most potent offenses clash in cincinnati,negative,two nfl potent offense clash cincinnati
raiders edge past packers to snap losing streak,the las vegas raiders intercept the green bay packers quarterback jordan love three times as they pick up their second win of the season,positive,la vega raider intercept green bay packer quarterback jordan love three time pick second win season
chelsea vs arsenal livestream: how to watch the match from anywhere,tune in to the premier league action this weekend from anywhere,neutral,tune premier league action weekend anywhere
"nyt connections today: answers and hints for tuesday, october 31","connections is the new puzzle game from the new york times, and it can be quite difficult if you need a hand with solving today's puzzle, we're here to help",positive,connection new puzzle game new york time quite difficult need hand solving today puzzle help
heat's jimmy butler: 'hell no' i wouldn't give up coffee for a year to win nba title,the desire to win an nba championship has its limits for miami heat star jimmy butler sports illustrated's rohan nadkarni asked butler if he'd give up…,positive,desire win nba championship limit miami heat star jimmy butler sport illustrated rohan nadkarni asked butler give
bears end worst losing streak in 104-year history,"the chicago bears beat the washington commanders to end the worst losing streak in nfl franchise history, on the day legend dick butkus died",negative,chicago bear beat washington commander end worst losing streak nfl franchise history day legend dick butkus died
royce lewis' 2 hrs sink blue jays as twins fans celebrate 1st playoff win since 2004,royce lewis broke the minnesota twins' 18-game playoff losing streak in grand fashion on tuesday by smacking two home runs in a 3-1 home victory over the…,negative,royce lewis broke minnesota twin game playoff losing streak grand fashion tuesday smacking two home run home victory
the life and career of lululemon founder chip wilson,chip wilson founded lululemon in 1997 after selling his first apparel company he became known for his controversial remarks and mishandling of company scandals,negative,chip wilson founded lululemon selling first apparel company became known controversial remark mishandling company scandal
"gabriel moreno, ketel marte wow fans as d-backs win ws game 2 vs rangers","after a dramatic game 1 loss, the arizona diamondbacks bounced back in a 9-1 victory over the texas ranges to tie the world series at 1-1 gabriel moreno and…",negative,dramatic game loss arizona diamondback bounced back victory texas range tie world series gabriel moreno
chiefs-broncos game in denver could be significantly impacted by snowstorm,a foot of snow could fall in colorado ahead of sundays afc west showdown in empower field at mile high,neutral,foot snow could fall colorado ahead sunday afc west showdown empower field mile high
broncos stun chiefs and rookie levis stars on debut,"the denver broncos beat the kansas city chiefs to end a 16-game losing streak, while quarterback will throws four touchdowns for the tennessee titans",negative,denver bronco beat kansa city chief end game losing streak quarterback throw four touchdown tennessee titan
how peerless verstappen broke perez and f1 records in 2023,max verstappen's 2023 championship victory will go down as one of formula one's greatest ever nate saunders looks back at how the red bull driver achieved it,positive,max verstappen championship victory go one formula one greatest ever nate saunders look back red bull driver achieved
win the weekend: nfl and college football betting tips,want to win your fantasy matchup and at the sportsbook? here's your one-stop shop for everything you need to help you make the most informed calls,positive,want win fantasy matchup sportsbook one stop shop everything need help make informed call
first win in 50 years?! jets hope to snap oh-for-forever skid against eagles,"it's been almost 50 years since they first played, but the jets are 0-12 all-time against the eagles can the underdog jets break the streak?",positive,almost year since first played jet time eagle underdog jet break streak
kentucky vs georgia livestream: how to watch the football game online for free,the bulldogs and the wildcats put undefeated records on the line tonight — heres how to stream the game live without cable,neutral,bulldog wildcat put undefeated record line tonight here stream game live without cable
how bruce bochy's radical calm propelled the texas rangers to the postseason,is managing by feel in the midst of a minor comeback? it's certainly working for the man who returned this season to lead the al's second wild-card team but there's a tall order ahead,positive,managing feel midst minor comeback certainly working man returned season lead al second wild card team tall order ahead
