shot_value,field_goal_percentage,lag1,home_crowd,score_diff,game_num,shot_outcome_numeric
3,0.4721,0.0,0,0,1,0
2,0.5794,0.0,0,0,1,0
3,0.5337,0.0,0,-3,1,1
2,0.5794,-1.0,0,-5,1,1
2,0.5535,0.0,0,-7,1,1
1,0.5535,1.0,0,-7,1,0
2,0.5535,-1.0,0,-7,1,0
2,0.5337,1.0,0,-7,1,0
2,0.5337,-1.0,0,-9,1,1
3,0.5877,0.0,0,-9,1,0
2,0.5877,-1.0,0,-9,1,1
3,0.5056,0.0,0,-9,1,0
2,0.4721,-1.0,0,-9,1,0
3,0.4721,-1.0,0,-9,1,0
2,0.5,0.0,0,-11,1,1
3,0.4721,-1.0,0,-9,1,1
2,0.5056,-1.0,0,-9,1,0
2,0.5794,1.0,0,-11,1,1
1,0.5337,1.0,0,-10,1,1
1,0.5337,1.0,0,-11,1,1
2,0.5535,-1.0,0,-11,1,0
3,0.5535,-1.0,0,-11,1,0
3,0.5794,1.0,0,-14,1,1
3,0.5337,1.0,0,-14,1,0
3,0.5056,-1.0,0,-17,1,1
3,0.4928,0.0,0,-20,1,1
3,0.5056,1.0,0,-23,1,1
3,0.5337,-1.0,0,-23,1,0
1,0.5535,-1.0,0,-24,1,1
1,0.5535,1.0,0,-25,1,1
3,0.5056,1.0,0,-28,1,1
2,0.5877,1.0,0,-30,1,1
3,0.5877,1.0,0,-24,1,0
1,0.5877,-1.0,0,-25,1,1
1,0.5877,1.0,0,-25,1,0
3,0.4928,1.0,0,-25,1,0
2,0.5877,-1.0,0,-27,1,1
2,0.3333,0.0,0,-27,1,0
3,0.5056,1.0,0,-27,1,0
3,0.5337,-1.0,0,-25,1,0
2,0.5794,1.0,0,-27,1,1
2,0.5535,1.0,0,-25,1,0
3,0.5877,1.0,0,-25,1,0
2,0.5877,-1.0,0,-27,1,1
2,0.5535,-1.0,0,-29,1,1
1,0.5535,1.0,0,-30,1,1
3,0.5337,-1.0,0,-31,1,1
2,0.4721,1.0,0,-29,1,0
3,0.4928,-1.0,0,-32,1,1
3,0.5877,1.0,0,-29,1,0
2,0.4721,-1.0,0,-28,1,1
1,0.4721,1.0,0,-27,1,1
1,0.4721,1.0,0,-28,1,1
3,0.5337,1.0,0,-25,1,0
3,0.5877,-1.0,0,-25,1,0
2,0.5056,-1.0,0,-25,1,0
3,0.4928,1.0,0,-25,1,0
2,0.5794,1.0,0,-25,1,0
2,0.5794,-1.0,0,-27,1,1
2,0.4721,1.0,0,-27,1,1
3,0.5056,-1.0,0,-25,1,0
3,0.5337,-1.0,0,-28,1,1
3,0.5877,-1.0,0,-26,1,0
3,0.5337,1.0,0,-24,1,0
2,0.5877,-1.0,0,-24,1,0
1,0.5535,1.0,0,-25,1,1
1,0.5535,1.0,0,-25,1,0
1,0.3333,-1.0,0,-25,1,0
2,0.4928,-1.0,0,-25,1,0
3,0.5877,-1.0,0,-28,1,1
3,0.5056,-1.0,0,-28,1,0
1,0.5056,-1.0,0,-25,1,1
1,0.5056,1.0,0,-26,1,1
3,0.5337,0.0,0,0,2,0
2,0.4721,0.0,0,-2,2,1
2,0.5337,-1.0,0,-2,2,0
2,0.4721,1.0,0,-2,2,0
2,0.5337,-1.0,0,-4,2,1
2,0.5877,0.0,0,-6,2,1
3,0.5877,1.0,0,-9,2,1
2,0.4721,-1.0,0,-9,2,0
3,0.5337,1.0,0,-9,2,0
3,0.5535,0.0,0,-9,2,1
2,0.4721,-1.0,0,-9,2,0
3,0.4721,-1.0,0,-9,2,0
2,0.4928,0.0,0,-7,2,0
3,0.5337,-1.0,0,-10,2,1
1,0.5337,1.0,0,-10,2,0
1,0.5337,-1.0,0,-10,2,0
3,0.5535,1.0,0,-10,2,0
2,0.5794,0.0,0,-12,2,1
2,0.5794,1.0,0,-12,2,0
2,0.4721,-1.0,0,-10,2,0
1,0.5337,-1.0,0,-9,2,1
1,0.5337,1.0,0,-10,2,1
3,0.5337,1.0,0,-11,2,1
2,0.4721,-1.0,0,-13,2,1
3,0.5337,1.0,0,-13,2,0
2,0.5794,-1.0,0,-13,2,0
1,0.5877,1.0,0,-14,2,1
1,0.5877,1.0,0,-14,2,0
2,0.5535,-1.0,0,-16,2,1
2,0.5877,-1.0,0,-16,2,0
2,0.5535,1.0,0,-18,2,1
3,0.5877,-1.0,0,-18,2,0
1,0.5877,-1.0,0,-19,2,1
1,0.5877,1.0,0,-20,2,1
2,0.5535,1.0,0,-22,2,1
2,0.5794,-1.0,0,-22,2,0
3,0.4721,1.0,0,-20,2,0
2,0.5535,1.0,0,-20,2,0
3,0.5337,-1.0,0,-18,2,0
3,0.5535,-1.0,0,-18,2,0
2,0.4721,-1.0,0,-20,2,1
2,0.5337,-1.0,0,-20,2,0
2,0.5794,-1.0,0,-20,2,1
3,0.5877,1.0,0,-17,2,0
2,0.5794,1.0,0,-17,2,1
3,0.4721,1.0,0,-17,2,0
2,0.5794,1.0,0,-17,2,0
3,0.5056,0.0,0,-17,2,0
2,0.4721,-1.0,0,-17,2,0
3,0.5337,-1.0,0,-17,2,0
2,0.5056,-1.0,0,-17,2,0
3,0.4928,-1.0,0,-15,2,0
3,0.4721,-1.0,0,-15,2,0
2,0.5535,-1.0,0,-15,2,0
3,0.4928,-1.0,0,-18,2,1
2,0.5794,-1.0,0,-18,2,0
3,0.5056,-1.0,0,-19,2,1
3,0.4721,-1.0,0,-22,2,1
2,0.5794,-1.0,0,-22,2,0
3,0.5535,-1.0,0,-22,2,1
2,0.5535,1.0,0,-19,2,1
1,0.5337,-1.0,0,-20,2,1
1,0.5337,1.0,0,-21,2,1
2,0.4721,1.0,0,-19,2,0
2,0.5056,1.0,0,-21,2,1
2,0.4721,-1.0,0,-23,2,1
1,0.5337,1.0,0,-24,2,1
1,0.5337,1.0,0,-25,2,1
3,0.4211,0.0,0,-23,2,0
2,0.4721,1.0,0,-22,2,0
1,0.4721,-1.0,0,-23,2,1
1,0.4721,1.0,0,-24,2,1
2,0.5877,-1.0,0,-23,2,1
2,0.4721,1.0,0,-23,2,0
2,0.5877,1.0,0,-23,2,1
2,0.4721,-1.0,0,-23,2,0
2,0.5877,1.0,0,-25,2,1
