Title,Description,Sentiment Label
how to watch jack catterall vs jorge linares live stream,"jack catterall hopes to add a win to his resume to redeem his loss to josh taylor he faces jorge linares, who is currently on a three fight losing streak",positive
jaguars vs steelers livestream: how to watch nfl week 8 online today - cnet,jacksonville look to make it five wins in a row as they head to pittsburgh,positive
vikings vs packers livestream: how to watch nfl week 8 online today - cnet,want to watch the minnesota vikings play the green bay packers? here's everything you need to stream sunday's 1 pm et game on fox,positive
dolphins' chase claypool says there was 'frustration' over bears' losing streak,"after being traded from the 1-4 chicago bears to the 4-1 miami dolphins last friday, wide receiver chase claypool admitted that he was dissatisfied with being…",negative
seahawks vs bengals livestream: how to watch nfl week 6 online today - cnet,two of the nfl's most potent offenses clash in cincinnati,negative
raiders edge past packers to snap losing streak,the las vegas raiders intercept the green bay packers quarterback jordan love three times as they pick up their second win of the season,positive
chelsea vs arsenal livestream: how to watch the match from anywhere,tune in to the premier league action this weekend from anywhere,neutral
"nyt connections today: answers and hints for tuesday, october 31","connections is the new puzzle game from the new york times, and it can be quite difficult if you need a hand with solving today's puzzle, we're here to help",positive
heat's jimmy butler: 'hell no' i wouldn't give up coffee for a year to win nba title,the desire to win an nba championship has its limits for miami heat star jimmy butler sports illustrated's rohan nadkarni asked butler if he'd give up…,positive
bears end worst losing streak in 104-year history,"the chicago bears beat the washington commanders to end the worst losing streak in nfl franchise history, on the day legend dick butkus died",negative
royce lewis' 2 hrs sink blue jays as twins fans celebrate 1st playoff win since 2004,royce lewis broke the minnesota twins' 18-game playoff losing streak in grand fashion on tuesday by smacking two home runs in a 3-1 home victory over the…,negative
the life and career of lululemon founder chip wilson,chip wilson founded lululemon in 1997 after selling his first apparel company he became known for his controversial remarks and mishandling of company scandals,negative
"gabriel moreno, ketel marte wow fans as d-backs win ws game 2 vs rangers","after a dramatic game 1 loss, the arizona diamondbacks bounced back in a 9-1 victory over the texas ranges to tie the world series at 1-1 gabriel moreno and…",negative
chiefs-broncos game in denver could be significantly impacted by snowstorm,a foot of snow could fall in colorado ahead of sundays afc west showdown in empower field at mile high,neutral
broncos stun chiefs and rookie levis stars on debut,"the denver broncos beat the kansas city chiefs to end a 16-game losing streak, while quarterback will throws four touchdowns for the tennessee titans",negative
how peerless verstappen broke perez and f1 records in 2023,max verstappen's 2023 championship victory will go down as one of formula one's greatest ever nate saunders looks back at how the red bull driver achieved it,positive
win the weekend: nfl and college football betting tips,want to win your fantasy matchup and at the sportsbook? here's your one-stop shop for everything you need to help you make the most informed calls,positive
first win in 50 years?! jets hope to snap oh-for-forever skid against eagles,"it's been almost 50 years since they first played, but the jets are 0-12 all-time against the eagles can the underdog jets break the streak?",positive
kentucky vs georgia livestream: how to watch the football game online for free,the bulldogs and the wildcats put undefeated records on the line tonight — heres how to stream the game live without cable,neutral
how bruce bochy's radical calm propelled the texas rangers to the postseason,is managing by feel in the midst of a minor comeback? it's certainly working for the man who returned this season to lead the al's second wild-card team but there's a tall order ahead,positive
"an ode to the red river showdown, which will remain unbeatable no matter the conference","regardless of whether it's a nonconference game, a big 12 showdown or an sec battle, texas vs oklahoma is must-see tv",negative
mateta: i'm at crystal palace for a reason,"in an exclusive interview with sky sports, crystal palace's jean-philippe mateta discusses his no 9 role, working with odsonne edouard and a summer of speculation",negative
kudus earns west ham last-gasp point against newcastle,mohammed kudus' last-minute strike snatched a 2-2 draw for west ham against newcastle in a game of high controversy at the london stadium,negative
kane on target as bayern ease past mainz,bayern munich extended their unbeaten start to the season to eight games as a 3-1 victory at mainz saw the champions keep pace with the early bundesliga pacesetters,positive
the broncos' misery index: stories that explain their 16-game losing streak to the kansas city chiefs,the broncos are 0-16 against the chiefs since september 2015 can they finally pull off what some might deem a miracle?,positive
"best black friday deals at best buy in 2023: up to $2,000 off with early access","you need to be a plus/total member this weekend, and deals for all arrive monday",neutral
best buy kicks off its black friday deals with epic savings for members only this weekend,"you need to be a plus/total member this weekend, and deals for all arrive monday",neutral
dreams of losing a sports hero,"a personal perspective: according to a new study, fans seem to have more sports dreams than the players themselves what do fans dream about when their favorite players leave?",positive
"volleyball at midseason: surprises, favorites and the rematch of the season",our experts break down the season so far and what's to come -- nebraska-wisconsin anyone? -- with an eye toward the ncaa tournament,neutral
crystal palace vs tottenham football live stream: watch via streaming & tv today,"its crystal palace vs tottenham today, and fans are wondering how to watch the premier league game today via streaming palace line up to face off against spurs at home, looking to bounce back after their heavy defeat against newcastle meanwhile, league lea…",negative
chelsea vs brentford football live stream: watch via streaming & tv today,"its chelsea vs brentford today, and fans are wondering how to watch the premier league game today via streaming home fans are hoping their visit to stamford bridge will prove fruitful, as mauricio pochettinos team is currently rallying with a small unbeate…",positive
2023 nfl odds: falcons' desmond ridder can't be beaten at home,ridder is becoming the poster child for home-field advantage learn more about his incredible winning streak at the mercedes-benz stadium,positive
'this is what heavyweights do': how mike tyson helped make francis ngannou's dream fight a reality,"francis ngannou always dreamed of being a professional boxer on saturday, with his idol mike tyson by his side, he'll fight the best in the world",positive
uefa womens champions league qualifying: wolfsburgs 11-year streak ends; manchester united eliminated,the final qualification round of the 2023/24 uefa women's champions league season saw some big results and major shocks,positive
"what to know from nfl week 7: lamar jackson dominates lions, belichick gets dramatic 300th win","nfl nation reporters react to all the action, answering lingering questions coming out of each game here's what we learned from week 7",neutral
oregon's 35-6 demolition of no 13 utah provides well-timed boost to cfp case,no 8 oregon snapped utah's 18-game home winning streak and gave the cfp selection committee plenty of reason to make the ducks the top-ranked one-loss program come tuesday night,positive
kevin harvick reflects on chasing victory as hall of fame career winds down,the soon-to-be retired kevin harvick is aiming to snap his 2023 winless streak with one final trip to victory lane,neutral
the 2023 mercedes-amg sl43 is an overpriced slk-class,"for decades, the mercedes-benz sl class has represented the very best of what the worlds oldest car brand could do it was meant to be peak style, peak luxury and, in some cases, peak performance whether it was the famed 300sl gullwing, the 230sl pagoda or …",positive
swpl round-up: rangers and glasgow city keep pressure on celtic,"a round-up from the scottish women's premier league as celtic, rangers and glasgow city all win as the top three remain unchanged, with dundee united and partick thistle also winning, and montrose claiming a monumental draw",positive
simone biles leads us womens team to win gymnastics world championship,us team led by biles takes world title with combined score of 167729 ahead of brazil (165530) and france (164064),neutral
man utd vs man city: eyes of the world will be on this game,"manchester united host arch-rivals and champions manchester city at old trafford in what is the 191st manchester derby on super sunday, a game you can see live on sky sports premier league, and united manager erik ten hag says it's a fixture the whole world w…",positive
"england tops australia, ollie watkins' hot streak continues with winning goal",ollie watkins continued his hot goal-scoring streak to fire england to a 1-0 win over australia at wembley stadium on friday,positive
erling haaland ends barren streak in champions league with 2 goals in man city's 3-1 win over young boys,erling haaland ended his barren streak in the champions league with two goals to help manchester city beat young boys 3-1,positive
bird takes on typhoon for an insane 700-mile sky-high ride of his life,"in 2019, a bold male seabird threw caution to the wind, flying above typhoon faxai as the storm pummeled southeastern japan it was the start of an 11-hour, 1,146-km (712-mile) crazy journey, that took the bird 15,000 feet higher than normal, at three times i…",positive
"how to watch today's florida gators vs south carolina gamecocks game: starting time, livestream options, more",the florida gators hope to end their road game-loss streak in a week 7 sec matchup against the south carolina gamecocks,positive
"braga vs real madrid live stream: how to watch champions league online, tv channel, prediction, odds",real madrid look to continue their winning ways and keep their perfect ucl streak alive,positive
"twins snap 18-game playoff losing streak, edge jays: here's what we learned",the twins won their first postseason game in 19 tries — and 19 years here are our takeaways from minnesota's game 1 wild-card victory over toronto,positive
